Site,Agapostemon.texanus,Agapostemon.virescens,Andrena.arabis,Andrena.atlantica,Andrena.banksi,Andrena.barbara,Andrena.bradleyi,Andrena.brevipalpis,Andrena.carlini,Andrena.carolina,Andrena.commoda,Andrena.confederata,Andrena.cornelli,Andrena.cressonii,Andrena.dunningi,Andrena.erigeniae,Andrena.erythronii,Andrena.fenningeri,Andrena.forbesii,Andrena.heraclei,Andrena.hilaris,Andrena.illini,Andrena.imitatrix,Andrena.macra,Andrena.mandibularis,Andrena.miserabilis,Andrena.morrisonella,Andrena.nasonii,Andrena.nida,Andrena.nuda,Andrena.perplexa,Andrena.personata,Andrena.pruni,Andrena.rufosignata,Andrena.rugosa,Andrena.sayi,Andrena.tridens,Andrena.vicina,Andrena.violae,Andrena.wilkella,Andrena.ziziaeformis,Anthophora.plumipes,Apis.mellifera,Augochlora.pura,Augochlorella.aurata,Augochloropsis.metallica,Bombus.bimaculatus,Bombus.citrinus,Bombus.fervidus,Bombus.griseocollis,Bombus.impatiens,Bombus.pensylvanicus,Bombus.perplexus,Bombus.sandersoni,Bombus.vagans,Ceratina.calcarata,Ceratina.dupla,Ceratina.mikmaqi,Ceratina.strenua,Colletes.inaequalis,Colletes.thoracicus,Colletes.validus,Eucera.atriventris,Eucera.hamata,Eucera.rosae,Habropoda.laboriosa,Halictus.confusus,Halictus.parallelus,Halictus.poeyi_ligatus,Halictus.rubicundus,Hoplitis.producta,Hylaeus.annulatus,Lasioglossum.abanci,Lasioglossum.acuminatum,Lasioglossum.admirandum,Lasioglossum.birkmanni,Lasioglossum.bruneri,Lasioglossum.cattellae,Lasioglossum.coeruleum,Lasioglossum.comagenense,Lasioglossum.coreopsis,Lasioglossum.coriaceum,Lasioglossum.cressonii,Lasioglossum.ephialtum,Lasioglossum.floridanum,Lasioglossum.foxii,Lasioglossum.fuscipenne,Lasioglossum.gotham,Lasioglossum.heterognathum,Lasioglossum.hitchensi,Lasioglossum.illinoense,Lasioglossum.imitatum,Lasioglossum.leucozonium,Lasioglossum.lineatulum,Lasioglossum.macoupinense,Lasioglossum.nigroviride,Lasioglossum.oblongum,Lasioglossum.quebecense,Lasioglossum.smilacinae,Lasioglossum.subviridatum,Lasioglossum.tegulare,Lasioglossum.trigeminum,Lasioglossum.versans,Lasioglossum.versatum,Lasioglossum.weemsi,Lasioglossum.zephyrum,Nomada.annulata,Nomada.armatella,Nomada.articulata,Nomada.australis,Nomada.bidentate_group,Nomada.composita,Nomada.cressonii,Nomada.denticulata,Nomada.depressa,Nomada.gracilis,Nomada.imbricata,Nomada.lehighensis,Nomada.luteola,Nomada.luteoloides,Nomada.maculata,Nomada.perplexa,Nomada.pygmaea,Nomada.sayi_illinoensis,Nomada.sulphurata,Osmia.atriventris,Osmia.bucephala,Osmia.collinsiae,Osmia.cornifrons,Osmia.georgica,Osmia.inspergens,Osmia.lignaria,Osmia.pumila,Osmia.taurus,Osmia.virga,Sphecodes.species,Xylocopa.virginica
NPS_MO1,0,0,0,0,0,5,0,0,20,0,0,0,0,1,0,28,0,0,0,1,0,0,0,0,0,0,0,17,1,0,70,0,12,0,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,5,1,0,4,0,0,0,0,0,0,0,0,0,1,5,0,0,0
NPS_MO2,0,0,0,0,0,7,0,1,16,0,0,0,0,4,0,30,0,0,0,0,0,1,0,0,1,0,0,2,0,0,124,0,90,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,11,0,0,57,0,0,27,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0
NPS_MO7,0,0,0,0,0,1,0,0,36,0,0,0,0,2,0,34,0,0,0,0,0,2,0,0,0,0,0,8,0,0,41,2,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,6,0,0,0
NPS_MO8,0,0,0,0,1,2,0,0,12,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,10,0,0,40,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0
NPS_MO9,0,0,0,0,0,1,0,0,29,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,33,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,13,0,0,0
NPS_WA2,0,0,0,0,0,2,0,0,202,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0,4,0,0,60,0,6,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,26,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,0,7,0,0,0,1,2,0,0,0
NPS_WA3,0,0,0,0,0,1,0,0,85,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,15,0,0,10,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,7,0,0,0,1,2,0,0,0
NPS_WA4,0,0,0,0,0,2,0,0,48,0,0,0,0,1,0,6,0,0,0,0,0,3,0,0,1,0,0,3,0,0,44,0,1,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5,0,0,5,1,0,4,1,0,2,6,0,16,0,0,0,2,18,0,0,0
NPS_WA5,0,0,0,0,0,2,0,0,36,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,17,0,0,0,0,13,0,0,0
Otter_Creek,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,13,0,0,0
Outten,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pickering_Creek,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,0,0,0
Plum_Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0
PRNAS_Area_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,9,0,0,0,0,0,4,0,1,2,0,0,0,9,0,0,7,12,0,0,1
PRNAS_Area_18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,2,6,0,0,0
Robinson_Nature_Center,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,10,0,14,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0
Rock_Creek_Park_Parkside,0,0,0,0,1,0,0,0,68,0,0,2,1,1,0,3,0,0,0,0,0,1,0,0,2,0,0,8,0,0,36,0,19,0,0,0,0,3,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,13,2,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,40,5,0,2,0,4,0,0,0,2,0,0,0,2,3,0,1,0
Rock_Creek_Park_Stables,0,0,0,0,0,2,0,0,57,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,35,0,6,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,6,0,1,26,3,0,8,0,0,1,0,0,6,0,0,1,1,9,0,0,0
Rock_Creek_Park_Wise_Rd,0,0,0,0,3,0,0,0,12,0,0,0,0,4,0,11,0,0,1,0,1,11,1,0,1,0,0,6,0,0,25,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,6,0,0,0,0,12,1,0,6,0,7,0,0,0,0,0,0,0,0,5,0,0,0
RORR,0,0,0,0,0,1,0,0,5,0,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,3,0,0,7,1,0,1,2,1,0,1,0,0,0,11,0,0,0
Showell,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,20,0,0,0
SNRMA,0,0,0,0,0,4,0,0,40,0,0,0,0,6,0,3,0,0,1,0,0,4,0,0,0,0,0,8,0,1,30,1,8,0,0,0,0,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,3,0,0,18,2,0,2,0,3,3,0,0,2,0,0,0,1,7,0,1,0
Swan_Harbor_Farm_Edge,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,45,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,1,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0
Swan_Harbor_Farm_Flooplain,0,0,0,0,0,2,0,0,25,0,0,0,0,1,0,107,0,0,0,1,0,0,0,0,1,0,0,5,0,0,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
Taber,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
Takoma_Park,0,0,0,0,0,4,0,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,0,0,0,3,0,0,0,0,0,1,2,4,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,13,0,0,10,1,0,4,0,0,0,1,0,2,1,0,0,1,5,0,0,0
Tuckahoe_Archery_Range,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,7,0,1,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Tuckahoe_Valley_Trail,0,0,0,0,0,1,0,0,15,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
Upper_Savage_River,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,5,0,5,1,1,0,1,0,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,2,0,0,0,0,0,0,1,0,1,2,0,0,1,0,1,1,0,0,0,1,1,0,0,0,7,0,1,1,0,24,1,0,0,0,0,0,0,29,0,0,1,4,3,0,8,0,7,5,0,42,0,0,2,1,0,25,0,0,0,1,10,0,2,0
Webster_Field,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,1,0,0,8,7,0,0,0
Wetipquin_Pond,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0
Wilder,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,4,0,0,2,2,0,0,0
Wolf_Trap_Ephemeral,0,0,2,0,0,8,1,0,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,6,0,0,0,0,0,2,0,0,0,2,3,0,0,0
Wolf_Trap_Ericaceous,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Wrights_Mill,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,1,0,1,0,0,0,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,1,5,5,0,1,0,0,1,0,0,1,0,0,0,1,8,0,0,0
Wye_Oak_State_Park,0,0,0,0,0,0,0,0,9,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Wynlea_Cecil,0,0,0,0,0,2,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
